Subcounty,DPT1,MR1
Birembo Subcounty,50,100
Bwanswa Subcounty,65,63
Igayaza Town Council,99,95
Kakindo Subcounty,43,32
Kakindo Town Council,249,265
Kakumiro Town Council,216,200
Kasambya Subcounty,51,44
Katikara Subcounty,62,61
Kibijjo Subcounty,333,337
Kijangi Subcounty,96,90
Kisengwe Subcounty,69,57
Kisiita Town Council,86,87
Kitaihuka Subcounty,50,60
Kyabasaijja Subcounty,148,115
Mpasaana Subcounty,19,11
Mpasaana Town Council,58,56
Mwitanzige Subcounty,127,331
Nalweyo Town Council,106,105
Nkooko Subcounty,16,13
Nkooko Town Council,296,194
