month,orgunit,MR1,DPT1
Jul-23,Mwitanzige Subcounty,265,107
Jul-23,Kakumiro District,80,71
Aug-23,Mwitanzige Subcounty,156,109
Aug-23,Kakumiro District,67,72
Sep-23,Mwitanzige Subcounty,183,108
Sep-23,Kakumiro District,83,72
Oct-23,Mwitanzige Subcounty,259,117
Oct-23,Kakumiro District,75,80
Nov-23,Mwitanzige Subcounty,252,135
Nov-23,Kakumiro District,69,79
Dec-23,Mwitanzige Subcounty,251,116
Dec-23,Kakumiro District,66,66
Jan-24,Mwitanzige Subcounty,184,125
Jan-24,Kakumiro District,61,73
Feb-24,Mwitanzige Subcounty,412,245
Feb-24,Kakumiro District,76,81
Mar-24,Mwitanzige Subcounty,181,107
Mar-24,Kakumiro District,56,55
Apr-24,Mwitanzige Subcounty,274,120
Apr-24,Kakumiro District,77,72
May-24,Mwitanzige Subcounty,280,121
May-24,Kakumiro District,117,72
Jun-24,Mwitanzige Subcounty,1265,114
Jun-24,Kakumiro District,103,70
Jan-23,Mwitanzige Subcounty,209,132
Jan-23,Kakumiro District,74,66
Feb-23,Mwitanzige Subcounty,94,95
Feb-23,Kakumiro District,80,72
Mar-23,Mwitanzige Subcounty,95,103
Mar-23,Kakumiro District,68,68
Apr-23,Mwitanzige Subcounty,132,127
Apr-23,Kakumiro District,67,65
May-23,Mwitanzige Subcounty,6,7
May-23,Kakumiro District,71,63
Jun-23,Mwitanzige Subcounty,167,125
Jun-23,Kakumiro District,76,69
Jan-22,Mwitanzige Subcounty,80,97
Jan-22,Kakumiro District,77,72
Feb-22,Mwitanzige Subcounty,118,140
Feb-22,Kakumiro District,94,81
Mar-22,Mwitanzige Subcounty,107,94
Mar-22,Kakumiro District,83,78
Apr-22,Mwitanzige Subcounty,104,111
Apr-22,Kakumiro District,81,74
May-22,Mwitanzige Subcounty,133,124
May-22,Kakumiro District,91,74
Jun-22,Mwitanzige Subcounty,148,129
Jun-22,Kakumiro District,98,74
Jul-22,Mwitanzige Subcounty,75,125
Jul-22,Kakumiro District,89,79
Aug-22,Mwitanzige Subcounty,101,158
Aug-22,Kakumiro District,74,72
Sep-22,Mwitanzige Subcounty,108,117
Sep-22,Kakumiro District,78,77
Oct-22,Mwitanzige Subcounty,115,119
Oct-22,Kakumiro District,69,68
Nov-22,Mwitanzige Subcounty,181,103
Nov-22,Kakumiro District,66,78
Dec-22,Mwitanzige Subcounty,121,130
Dec-22,Kakumiro District,57,57
Jan-21,Mwitanzige Subcounty,60,134
Jan-21,Kakumiro District,80,84
Feb-21,Mwitanzige Subcounty,78,128
Feb-21,Kakumiro District,93,91
Mar-21,Mwitanzige Subcounty,,
Mar-21,Kakumiro District,84,71
Apr-21,Mwitanzige Subcounty,51,74
Apr-21,Kakumiro District,99,84
May-21,Mwitanzige Subcounty,95,100
May-21,Kakumiro District,99,76
Jun-21,Mwitanzige Subcounty,105,122
Jun-21,Kakumiro District,108,84
Jul-21,Mwitanzige Subcounty,108,106
Jul-21,Kakumiro District,84,72
Aug-21,Mwitanzige Subcounty,15,21
Aug-21,Kakumiro District,90,77
Sep-21,Mwitanzige Subcounty,162,164
Sep-21,Kakumiro District,111,79
Oct-21,Mwitanzige Subcounty,98,87
Oct-21,Kakumiro District,91,70
Nov-21,Mwitanzige Subcounty,106,106
Nov-21,Kakumiro District,81,73
Dec-21,Mwitanzige Subcounty,44,67
Dec-21,Kakumiro District,72,64
Jan-20,Mwitanzige Subcounty,30,62
Jan-20,Kakumiro District,81,88
Feb-20,Mwitanzige Subcounty,,
Feb-20,Kakumiro District,90,95
Mar-20,Mwitanzige Subcounty,37,46
Mar-20,Kakumiro District,61,66
Apr-20,Mwitanzige Subcounty,,
Apr-20,Kakumiro District,76,75
May-20,Mwitanzige Subcounty,32,71
May-20,Kakumiro District,89,87
Jun-20,Mwitanzige Subcounty,69,58
Jun-20,Kakumiro District,88,83
Jul-20,Mwitanzige Subcounty,39,41
Jul-20,Kakumiro District,79,81
Aug-20,Mwitanzige Subcounty,14,35
Aug-20,Kakumiro District,67,71
Sep-20,Mwitanzige Subcounty,31,22
Sep-20,Kakumiro District,72,67
Oct-20,Mwitanzige Subcounty,28,37
Oct-20,Kakumiro District,97,84
Nov-20,Mwitanzige Subcounty,31,35
Nov-20,Kakumiro District,84,86
Dec-20,Mwitanzige Subcounty,58,79
Dec-20,Kakumiro District,85,76
