month,orgunit,MR1,DPT1
23-Jul,Mwitanzige Subcounty,265,107
23-Jul,Kakumiro District,80,71
23-Aug,Mwitanzige Subcounty,156,109
23-Aug,Kakumiro District,67,72
23-Sep,Mwitanzige Subcounty,183,108
23-Sep,Kakumiro District,83,72
23-Oct,Mwitanzige Subcounty,259,117
23-Oct,Kakumiro District,75,80
23-Nov,Mwitanzige Subcounty,252,135
23-Nov,Kakumiro District,69,79
23-Dec,Mwitanzige Subcounty,251,116
23-Dec,Kakumiro District,66,66
24-Jan,Mwitanzige Subcounty,184,125
24-Jan,Kakumiro District,61,73
24-Feb,Mwitanzige Subcounty,412,245
24-Feb,Kakumiro District,76,81
24-Mar,Mwitanzige Subcounty,181,107
24-Mar,Kakumiro District,56,55
24-Apr,Mwitanzige Subcounty,274,120
24-Apr,Kakumiro District,77,72
24-May,Mwitanzige Subcounty,280,121
24-May,Kakumiro District,117,72
24-Jun,Mwitanzige Subcounty,1265,114
24-Jun,Kakumiro District,103,70
23-Jan,Mwitanzige Subcounty,209,132
23-Jan,Kakumiro District,74,66
23-Feb,Mwitanzige Subcounty,94,95
23-Feb,Kakumiro District,80,72
23-Mar,Mwitanzige Subcounty,95,103
23-Mar,Kakumiro District,68,68
23-Apr,Mwitanzige Subcounty,132,127
23-Apr,Kakumiro District,67,65
23-May,Mwitanzige Subcounty,6,7
23-May,Kakumiro District,71,63
23-Jun,Mwitanzige Subcounty,167,125
23-Jun,Kakumiro District,76,69
22-Jan,Mwitanzige Subcounty,80,97
22-Jan,Kakumiro District,77,72
22-Feb,Mwitanzige Subcounty,118,140
22-Feb,Kakumiro District,94,81
22-Mar,Mwitanzige Subcounty,107,94
22-Mar,Kakumiro District,83,78
22-Apr,Mwitanzige Subcounty,104,111
22-Apr,Kakumiro District,81,74
22-May,Mwitanzige Subcounty,133,124
22-May,Kakumiro District,91,74
22-Jun,Mwitanzige Subcounty,148,129
22-Jun,Kakumiro District,98,74
22-Jul,Mwitanzige Subcounty,75,125
22-Jul,Kakumiro District,89,79
22-Aug,Mwitanzige Subcounty,101,158
22-Aug,Kakumiro District,74,72
22-Sep,Mwitanzige Subcounty,108,117
22-Sep,Kakumiro District,78,77
22-Oct,Mwitanzige Subcounty,115,119
22-Oct,Kakumiro District,69,68
22-Nov,Mwitanzige Subcounty,181,103
22-Nov,Kakumiro District,66,78
22-Dec,Mwitanzige Subcounty,121,130
22-Dec,Kakumiro District,57,57
