month,orgunit,MR1,DPT1,MR2
Jul-23,Kakumiro District,80,71,0
Jul-23,Mwitanzige Subcounty,265,107,
Aug-23,Kakumiro District,67,72,2
Aug-23,Mwitanzige Subcounty,156,109,0
Sep-23,Kakumiro District,83,72,3
Sep-23,Mwitanzige Subcounty,183,108,
Oct-23,Kakumiro District,75,80,0
Oct-23,Mwitanzige Subcounty,259,117,
Nov-23,Kakumiro District,69,79,1
Nov-23,Mwitanzige Subcounty,252,135,
Dec-23,Kakumiro District,66,66,1
Dec-23,Mwitanzige Subcounty,251,116,
Jan-24,Kakumiro District,61,73,1
Jan-24,Mwitanzige Subcounty,184,125,
Feb-24,Kakumiro District,76,81,1
Feb-24,Mwitanzige Subcounty,412,245,
Mar-24,Kakumiro District,56,55,6
Mar-24,Mwitanzige Subcounty,181,107,
Apr-24,Kakumiro District,77,72,63
Apr-24,Mwitanzige Subcounty,274,120,
May-24,Kakumiro District,117,72,82
May-24,Mwitanzige Subcounty,280,121,
Jun-24,Kakumiro District,103,70,922
Jun-24,Mwitanzige Subcounty,1265,114,37
Jan-23,Kakumiro District,74,66,1
Jan-23,Mwitanzige Subcounty,209,132,
Feb-23,Kakumiro District,80,72,3
Feb-23,Mwitanzige Subcounty,94,95,6
Mar-23,Kakumiro District,68,68,1
Mar-23,Mwitanzige Subcounty,95,103,
Apr-23,Kakumiro District,67,65,0
Apr-23,Mwitanzige Subcounty,132,127,
May-23,Kakumiro District,71,63,1
May-23,Mwitanzige Subcounty,6,7,
Jun-23,Kakumiro District,76,69,4
Jun-23,Mwitanzige Subcounty,167,125,
Dec-22,Kakumiro District,57,57,3
Dec-22,Mwitanzige Subcounty,121,130,
Nov-22,Kakumiro District,66,78,0
Nov-22,Mwitanzige Subcounty,181,103,
Oct-22,Kakumiro District,69,68,0
Oct-22,Mwitanzige Subcounty,115,119,0
Jan-22,Kakumiro District,77,72,0
Jan-22,Mwitanzige Subcounty,80,97,5
Feb-22,Kakumiro District,94,81,0
Feb-22,Mwitanzige Subcounty,118,140,
Mar-22,Kakumiro District,83,78,0
Mar-22,Mwitanzige Subcounty,107,94,
Apr-22,Kakumiro District,81,74,0
Apr-22,Mwitanzige Subcounty,104,111,
May-22,Kakumiro District,91,74,0
May-22,Mwitanzige Subcounty,133,124,
Jun-22,Kakumiro District,98,74,0
Jun-22,Mwitanzige Subcounty,148,129,
Jul-22,Kakumiro District,89,79,0
Jul-22,Mwitanzige Subcounty,75,125,
Aug-22,Kakumiro District,74,72,3
Aug-22,Mwitanzige Subcounty,101,158,0
Sep-22,Kakumiro District,78,77,0
Sep-22,Mwitanzige Subcounty,108,117,0
